row_id,order_id,order_date,order_priority,quantity,sales,discount,ship_mode,profit,unit_price,shipping_cost,customer_name,province,region,segment,category,sub_category,product_name,product_container,product_base_margin,ship_date,year,quarter,month,profit_margin,discount_bucket
11,807,2010-11-23,Medium,45,196.85,0.01,Regular Air,-166.85,4.28,6.18,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1980,Small Box,0.4,2010-11-24,2010,4,11,-0.8475996951993904,1-10%
12,807,2010-11-23,Medium,32,124.56,0.04,Regular Air,-14.33,3.95,2.0,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,0.53,2010-11-24,2010,4,11,-0.11504495825305074,1-10%
13,868,2012-06-08,Not Specified,32,716.84,0.0,Regular Air,134.72,21.78,5.94,Carlos Daly,Nunavut,Nunavut,Home Office,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,2012-06-09,2012,2,6,0.1879359410747168,0%
14,868,2012-06-08,Not Specified,31,1474.33,0.04,Regular Air,114.46,47.98,3.61,Carlos Daly,Nunavut,Nunavut,Home Office,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,0.71,2012-06-10,2012,2,6,0.07763526483216104,1-10%
15,933,2012-08-04,Not Specified,15,80.61,0.02,Regular Air,-4.72,5.28,2.99,Claudia Miner,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLock¨ Ring Binders",Small Box,0.37,2012-08-04,2012,3,8,-0.05855352933879171,1-10%
16,995,2011-05-30,Medium,46,1815.49,0.03,Regular Air,782.91,39.89,3.04,Neola Schneider,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,0.53,2011-05-31,2011,2,5,0.4312389492643859,1-10%
17,998,2009-11-25,Not Specified,16,248.26,0.07,Regular Air,93.8,15.74,1.39,Allen Rosenblatt,Nunavut,Nunavut,Small Business,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Small Box,0.4,2009-11-26,2009,4,11,0.37782969467493754,1-10%
18,1154,2012-02-14,Critical,44,4462.23,0.04,Delivery Truck,440.72,100.98,26.22,Sylvia Foulston,Nunavut,Nunavut,Home Office,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box,0.6,2012-02-16,2012,1,2,0.09876676011769901,1-10%
19,1154,2012-02-14,Critical,11,663.784,0.25,Regular Air,-481.04,71.37,69.0,Sylvia Foulston,Nunavut,Nunavut,Home Office,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box,0.68,2012-02-16,2012,1,2,-0.7246935750183795,20%+
20,1344,2012-04-15,Low,15,834.904,0.06,Regular Air,-11.68,65.99,5.26,Jim Radford,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,g520,Small Box,0.59,2012-04-22,2012,2,4,-0.01398963234096375,1-10%
21,1344,2012-04-15,Low,18,2480.9205,0.01,Regular Air,313.58,155.99,8.99,Jim Radford,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,LX 788,Small Box,0.58,2012-04-19,2012,2,4,0.12639663383006428,1-10%
22,1412,2010-03-12,Not Specified,13,59.03,0.1,Express Air,26.92,3.69,0.5,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Labels,Avery 52,Small Box,0.38,2010-03-14,2010,1,3,0.4560393020498052,1-10%
23,1412,2010-03-12,Not Specified,21,97.48,0.05,Regular Air,-5.77,4.71,0.7,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,0.8,2010-03-14,2010,1,3,-0.05919162905211325,1-10%
24,1539,2011-03-09,Low,33,511.83,0.1,Regular Air,-172.88,15.99,13.18,Carl Ludwig,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,2011-03-11,2011,1,3,-0.33776839966395095,1-10%
25,1539,2011-03-09,Low,38,184.99,0.05,Regular Air,-144.55,4.89,4.93,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Small Pack,0.66,2011-03-14,2011,1,3,-0.7813935888426402,1-10%
26,1540,2012-08-04,High,30,80.9,0.09,Regular Air,5.76,2.88,0.7,Don Miller,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,Newell 335,Wrap Bag,0.56,2012-08-06,2012,3,8,0.07119901112484547,1-10%
27,1702,2011-05-06,High,23,67.24,0.06,Regular Air,4.9,2.84,0.93,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accentª Tank-Style Highlighters,Wrap Bag,0.54,2011-05-07,2011,2,5,0.07287328970850686,1-10%
28,1761,2010-12-23,High,25,12028.23,0.01,Delivery Truck,-547.61,449.99,49.0,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Copiers and Fax,Canon PC940 Copier,Jumbo Drum,0.38,2010-12-25,2010,4,12,-0.0455270642480232,1-10%
29,1792,2010-11-08,Low,28,370.48,0.04,Regular Air,-5.45,13.48,4.51,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,0.59,2010-11-13,2010,4,11,-0.014710645648887929,1-10%
30,2275,2012-10-21,Not Specified,49,278.0,0.08,Regular Air,41.67,6.08,1.17,Grant Carroll,Nunavut,Nunavut,Small Business,Office Supplies,Pens & Art Supplies,Col-Erase¨ Pencils with Erasers,Wrap Bag,0.56,2012-10-22,2012,4,10,0.14989208633093526,1-10%
31,2277,2011-01-01,Not Specified,10,66.54,0.01,Regular Air,-46.03,5.98,4.38,Don Miller,Nunavut,Nunavut,Home Office,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Small Pack,0.75,2011-01-02,2011,1,1,-0.6917643522693117,1-10%
32,2277,2011-01-01,Not Specified,21,845.32,0.06,Regular Air,33.67,40.99,19.99,Don Miller,Nunavut,Nunavut,Home Office,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Small Box,0.36,2011-01-03,2011,1,1,0.03983106989069228,1-10%
33,2532,2011-10-10,High,39,282.07,0.03,Regular Air,140.01,7.31,0.49,Alan Barnes,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Box,0.38,2011-10-11,2011,4,10,0.49636615024639275,1-10%
34,2532,2011-10-10,High,24,426.037,0.01,Regular Air,-78.96,20.99,2.5,Alan Barnes,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,Accessory37,Wrap Bag,0.81,2011-10-11,2011,4,10,-0.18533601541650138,1-10%
35,2631,2010-09-23,Low,27,1078.49,0.08,Regular Air,252.66,40.96,1.99,Jack Garza,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Small Pack,0.55,2010-09-25,2010,3,9,0.23427199139537686,1-10%
36,2757,2011-07-19,Critical,39,3554.46,0.07,Delivery Truck,-1766.01,95.95,74.35,Julia West,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,Jumbo Drum,0.57,2011-07-19,2011,3,7,-0.4968434023733563,1-10%
37,2791,2009-10-09,High,47,191.67,0.0,Regular Air,-236.27,3.89,7.01,Eugene Barchas,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,Small Box,0.37,2009-10-09,2009,4,10,-1.2326916053633852,0%
38,2791,2009-10-09,High,49,5586.33,0.09,Delivery Truck,80.44,120.98,30.0,Eugene Barchas,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Hon Every-Day¨ Chair Series Swivel Task Chairs,Jumbo Drum,0.64,2009-10-11,2009,4,10,0.014399435765520475,1-10%
39,2791,2009-10-09,High,18,507.64,0.1,Regular Air,118.94,30.98,5.76,Eugene Barchas,Nunavut,Nunavut,Corporate,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Small Box,0.4,2009-10-10,2009,4,10,0.2342998975652037,1-10%
40,2976,2010-12-09,Not Specified,30,14223.82,0.09,Delivery Truck,3424.22,500.98,26.0,Edward Hooks,Nunavut,Nunavut,Consumer,Furniture,Chairs & Chairmats,Global Troyª Executive Leather Low-Back Tilter,Jumbo Drum,0.6,2010-12-11,2010,4,12,0.24073842329275819,1-10%
41,3232,2012-10-08,Critical,5,42.66,0.06,Regular Air,-11.83,7.84,4.71,Brad Eason,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,XtraLife¨ ClearVueª Slant-D¨ Ring Binders by Cardinal,Small Box,0.35,2012-10-10,2012,4,10,-0.27730895452414445,1-10%
42,3524,2012-05-02,High,21,427.32,0.0,Regular Air,52.35,18.97,9.03,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.37,2012-05-03,2012,2,5,0.12250772254984556,0%
43,3908,2010-03-08,Medium,8,820.284,0.0,Regular Air,-180.2,115.99,2.5,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,6160,Small Box,0.57,2010-03-08,2010,1,3,-0.2196800132636989,0%
44,4132,2011-05-28,Not Specified,5,14.76,0.01,Regular Air,1.32,2.88,0.5,Aaron Bergman,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Avery 49,Small Box,0.36,2011-05-30,2011,2,5,0.08943089430894309,1-10%
45,4612,2010-09-19,Medium,9,89.55,0.06,Regular Air,-375.64,4.48,49.0,Jim Radford,Nunavut,Nunavut,Corporate,Office Supplies,Appliances,Hoover Portapowerª Portable Vacuum,Large Box,0.6,2010-09-21,2010,3,9,-4.194751535455053,1-10%
46,4676,2011-08-31,High,11,1210.0515,0.04,Regular Air,-104.25,125.99,7.69,Annie Cyprus,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Timeport L7089,Small Box,0.58,2011-09-01,2011,3,8,-0.08615335793559199,1-10%
47,4676,2011-08-31,High,50,187.83,0.03,Regular Air,85.96,3.75,0.5,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Labels,Avery 510,Small Box,0.37,2011-09-02,2011,3,8,0.4576478730767182,1-10%
48,4676,2011-08-31,High,3,49.59,0.07,Express Air,-8.38,12.28,6.47,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1881,Small Box,0.38,2011-09-02,2011,3,8,-0.16898568259729785,1-10%
49,4676,2011-08-31,High,30,4253.009,0.01,Regular Air,1115.69,155.99,8.99,Annie Cyprus,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,LX 788,Small Box,0.58,2011-09-01,2011,3,8,0.26232956478577873,1-10%
50,5284,2011-07-08,Not Specified,7,59.38,0.1,Regular Air,-3.05,8.69,2.99,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D¨ Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,2011-07-10,2011,3,7,-0.05136409565510272,1-10%
51,5316,2009-01-30,Critical,42,1285.37,0.1,Regular Air,514.07,31.78,1.99,Clay Rozendal,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"Memorex 4.7GB DVD-RAM, 3/Pack",Small Pack,0.42,2009-02-01,2009,1,1,0.39993931708379693,1-10%
52,5409,2012-01-08,Low,11,48.91,0.01,Regular Air,-7.04,3.98,2.97,Don Jones,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Unpadded Memo Slips,Wrap Bag,0.35,2012-01-13,2012,1,1,-0.143937845021468,1-10%
53,5506,2010-11-07,Critical,22,129.62,0.05,Regular Air,4.41,5.88,3.04,Beth Thompson,Nunavut,Nunavut,Corporate,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Wrap Bag,0.36,2010-11-08,2010,4,11,0.0340225273877488,1-10%
54,5569,2010-04-29,Not Specified,12,118.97,0.09,Regular Air,-0.06,9.65,6.22,Frank Price,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,"Eldon Expressionsª Desk Accessory, Wood Pencil Holder, Oak",Small Box,0.55,2010-05-01,2010,2,4,-0.0005043288223921997,1-10%
55,5607,2011-12-31,Not Specified,8,61.8715,0.0,Regular Air,-50.33,7.99,5.03,Michelle Lonsdale,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,2012-01-03,2011,4,12,-0.8134601553219172,0%
56,5894,2009-08-12,High,7,384.33,0.1,Regular Air,87.68,58.1,1.49,Ann Chong,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders,Small Box,0.38,2009-08-13,2009,3,8,0.22813727786017227,1-10%
57,5894,2009-08-12,High,3,239.03,0.01,Regular Air,-68.22,80.48,4.5,Ann Chong,Nunavut,Nunavut,Corporate,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,Small Box,0.55,2009-08-15,2009,3,8,-0.28540350583608753,1-10%
58,5925,2011-11-12,Low,44,3922.42,0.08,Regular Air,-354.9,92.23,39.61,Joy Bell,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Medium Box,0.67,2011-11-19,2011,4,11,-0.0904798568230837,1-10%
59,5925,2011-11-12,Low,25,1733.3625,0.07,Regular Air,-267.01,85.99,0.99,Joy Bell,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Accessory4,Wrap Bag,0.85,2011-11-19,2011,4,11,-0.15404163872242535,1-10%
60,6016,2012-01-20,High,19,208.28,0.07,Regular Air,3.63,11.48,5.43,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Personal Creationsª Ink Jet Cards and Labels,Small Box,0.36,2012-01-20,2012,1,1,0.017428461686191665,1-10%
61,6116,2009-03-20,Medium,6,9620.82,0.04,Regular Air,-1759.58,1637.53,24.49,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,Medium Box,0.81,2009-03-22,2009,1,3,-0.182892934282109,1-10%
62,6182,2012-07-21,Low,40,255.48,0.04,Regular Air,-116.79,6.48,6.65,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 1966,Small Box,0.36,2012-07-28,2012,3,7,-0.45713950211366844,1-10%
63,6182,2012-07-21,Low,18,130.32,0.04,Express Air,-67.28,6.48,7.86,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 213,Small Box,0.37,2012-07-25,2012,3,7,-0.516267648864334,1-10%
64,6535,2012-06-12,Critical,11,312.36,0.07,Express Air,-19.33,28.15,8.99,Adrian Hane,Nunavut,Nunavut,Corporate,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Small Pack,0.57,2012-06-15,2012,2,6,-0.061883723908310914,1-10%
65,6884,2009-01-15,Low,41,217.0,0.01,Regular Air,-61.21,4.98,4.75,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Small Box,0.36,2009-01-20,2009,1,1,-0.282073732718894,1-10%
66,6884,2009-01-15,Low,47,296.13,0.04,Regular Air,119.09,6.35,1.02,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Wrap Bag,0.39,2009-01-20,2009,1,1,0.4021544591902205,1-10%
67,6916,2010-06-04,Low,40,436.17,0.08,Express Air,-141.27,10.9,7.46,Andrew Gjertsen,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,Crate-A-Filesª,Small Box,0.59,2010-06-08,2010,2,6,-0.323887475067061,1-10%
68,6980,2010-02-18,Not Specified,18,136.29,0.05,Regular Air,-77.28,7.3,7.72,Ralph Knight,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,2010-02-19,2010,1,2,-0.5670261941448382,1-10%
69,6982,2011-11-16,Not Specified,32,1311.25,0.0,Express Air,407.44,39.48,1.99,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,2011-11-18,2011,4,11,0.3107264061010486,0%
70,6982,2011-11-16,Not Specified,5,544.41,0.09,Delivery Truck,-338.27,100.98,57.38,Dorothy Wardle,Nunavut,Nunavut,Corporate,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Jumbo Box,0.78,2011-11-18,2011,4,11,-0.6213515548942893,1-10%
71,6982,2011-11-16,Not Specified,41,844.09,0.04,Regular Air,52.56,19.98,10.49,Dorothy Wardle,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock,Small Box,0.49,2011-11-18,2011,4,11,0.0622682415382246,1-10%
72,7110,2011-08-07,Low,22,6396.2,0.02,Regular Air,1902.24,276.2,24.49,Grant Carroll,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,Large Box,,2011-08-11,2011,3,8,0.297401582189425,1-10%
73,7430,2010-06-08,Medium,50,751.77,0.05,Regular Air,353.2,15.67,1.39,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",Small Box,0.38,2010-06-09,2010,2,6,0.4698245474014659,1-10%
74,7906,2009-10-17,Medium,37,1003.06,0.03,Regular Air,271.78,25.98,5.37,Beth Paige,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,3M Office Air Cleaner,Medium Box,0.5,2009-10-17,2009,4,10,0.2709508902757562,1-10%
75,8391,2011-08-28,High,4,1266.72,0.04,Delivery Truck,-268.36,300.98,64.73,Sylvia Foulston,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",Jumbo Drum,0.56,2011-08-29,2011,3,8,-0.21185423771630668,1-10%
76,8419,2011-09-29,Critical,19,368.04,0.07,Express Air,70.39,19.98,5.97,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Xerox 1936,Small Box,0.38,2011-10-01,2011,3,9,0.1912563851755244,1-10%
77,8419,2011-09-29,Critical,24,152.6,0.1,Regular Air,-86.62,6.48,7.03,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Xerox 214,Small Box,0.37,2011-09-30,2011,3,9,-0.5676277850589778,1-10%
78,8833,2012-05-04,Low,40,3338.98,0.0,Regular Air,-846.73,80.98,35.0,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black,Large Box,0.81,2012-05-08,2012,2,5,-0.2535894195233275,0%
79,8995,2011-05-17,High,5,24.16,0.08,Express Air,8.05,1.88,1.49,Beth Paige,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,Staples¨ General Use 3-Ring Binders,Small Box,0.37,2011-05-18,2011,2,5,0.3331953642384106,1-10%
80,8995,2011-05-17,High,41,270.84,0.1,Express Air,-78.02,6.48,5.86,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 1904,Small Box,0.36,2011-05-18,2011,2,5,-0.28806675527987,1-10%
81,8995,2011-05-17,High,35,3389.93,0.08,Express Air,737.94,102.3,21.26,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Furniture,Office Furnishings,Luxo Professional Combination Clamp-On Lamps,Large Box,0.59,2011-05-18,2011,2,5,0.21768591091851458,1-10%
82,8995,2011-05-17,High,42,266.36,0.07,Regular Air,-191.28,6.48,8.19,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 217,Small Box,0.37,2011-05-18,2011,2,5,-0.7181258447214296,1-10%
83,8995,2011-05-17,High,46,89.41,0.01,Regular Air,-21.49,1.89,0.76,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Rubber Bands,Revere Boxed Rubber Bands by Revere,Wrap Bag,0.83,2011-05-19,2011,2,5,-0.24035342802818477,1-10%
84,9126,2009-11-17,Medium,47,2799.7,0.04,Regular Air,884.08,62.05,3.99,Sylvia Foulston,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Appliances,"Acco Smartsocketª Table Surge Protector, 6 Color-Coded Adapter Outlets",Small Box,0.55,2009-11-18,2009,4,11,0.3157766903596814,1-10%
85,9127,2011-10-10,Not Specified,7,2039.56,0.04,Express Air,-329.49,279.48,35.0,Bryan Davis,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Large Box,0.8,2011-10-12,2011,4,10,-0.16154954990292025,1-10%
86,9509,2012-10-07,Not Specified,36,12175.82,0.02,Delivery Truck,2825.15,320.98,58.95,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Furniture,Chairs & Chairmats,Hon 4070 Series Pagodaª Round Back Stacking Chairs,Jumbo Drum,0.57,2012-10-08,2012,4,10,0.23202954708594575,1-10%
87,9509,2012-10-07,Not Specified,5,101.21,0.1,Express Air,2.13,18.97,5.21,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Paper,Xerox 1887,Small Box,0.37,2012-10-08,2012,4,10,0.021045351249876495,1-10%
88,9509,2012-10-07,Not Specified,32,1585.64,0.02,Regular Air,707.15,48.91,5.81,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Paper,Xerox 1891,Small Box,0.38,2012-10-07,2012,4,10,0.44597134280164474,1-10%
89,9763,2011-08-13,Medium,44,176.26,0.07,Regular Air,75.13,4.13,0.5,Alan Barnes,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Labels,Avery 506,Small Box,0.39,2011-08-16,2011,3,8,0.4262453194145013,1-10%
90,9927,2011-08-16,High,32,4655.07,0.0,Delivery Truck,-270.63,140.98,53.48,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Jumbo Box,0.65,2011-08-17,2011,3,8,-0.05813661233880479,0%
91,9927,2011-08-16,High,44,10087.6,0.01,Regular Air,3387.35,218.08,18.06,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,"Lifetime Advantageª Folding Chairs, 4/Carton",Large Box,0.57,2011-08-17,2011,3,8,0.3357934493834014,1-10%
92,9927,2011-08-16,High,34,1608.08,0.09,Express Air,-82.16,50.98,6.5,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Technology,Computer Peripherals,Microsoft Natural Multimedia Keyboard,Small Box,0.73,2011-08-17,2011,3,8,-0.05109198547335953,1-10%
93,10022,2009-03-04,Low,1,12.18,0.06,Regular Air,-3.88,10.14,2.27,Delfina Latchford,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Wrap Bag,0.36,2009-03-04,2009,1,3,-0.3185550082101806,1-10%
94,10437,2009-08-18,Critical,50,820.52,0.01,Regular Air,-191.22,15.99,13.18,Don Jones,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,2009-08-20,2009,3,8,-0.23304733583581144,1-10%
95,10499,2010-11-16,Not Specified,29,6250.936,0.01,Delivery Truck,31.21,262.11,62.74,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Tables,Bevis Boat-Shaped Conference Table,Jumbo Box,0.75,2010-11-17,2010,4,11,0.004992852270443979,1-10%
96,10535,2011-05-27,Low,25,854.88,0.09,Regular Air,-44.14,33.98,19.99,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Office Furnishings,"Linden¨ 12"" Wall Clock With Oak Frame",Small Box,0.55,2011-05-29,2011,2,5,-0.05163297772786824,1-10%
